Lease Number,Current Expiration Date,Lease Initial Effective Date,Location Code,Lease ANSI Rentable Sqft,Lease Usable Sqft,Lse Structured Parking Spaces,Lse Surface Parking Spaces,Lease Annual Rent Amount,Lease Responsibility,Lessor Name,Lessor In-Care-Of,Lessor Address 1,Lessor Address 2,Lessor Country,Lessor State,Lessor Zip Code,Lessor County,Lessor City              
LFL41067,24-Aug-2028,25-Aug-2008,FL3148,17151.000000,14914.000000,22,40,946735.090000,LESSOR,"HOMESTEAD DE XIV,LLC","","8100 MACOMB STREET","","US",MI,48138-0000,"WAYNE","GROSSE ILE"
LFL46809,19-Mar-2016,20-Mar-2006,FL3150,54493.000000,48978.000000,0,261,1301856.770000,LESSOR,"ZONS PROPERTY 15,LLC","","605 S. FREEMONT AVENUE","SUITE B","US",FL,33606-2479,"HILLSBOROUGH","TAMPA"
LFL46811,01-May-2012,24-Apr-2006,FL3151,9405.000000,8358.000000,0,38,190485.780000,LESSOR,"JACKSONVILLE CONCOURSE II,LLC","","6675 CORPORATE CENTER PARKWAY #100","","US",FL,32216-0000,"DUVAL","JACKSONVILLE"
LFL44156,11-Feb-2017,12-Feb-2007,FL3152,16538.000000,15750.000000,0,80,562420.630000,LESSOR,"211 STREET LLC","","100 NE 15TH STREET","","US",FL,33030-4564,"MIAMI-DADE","HOMESTEAD"
LFL59814,28-Feb-2014,01-Mar-2009,FL3154,352.000000,312.000000,0,1,9593.440000,LESSOR,"SARASOTA OUTDOOR PROPERTIES,LLC","","665 S. ORANGE AVE.","STE. 4","US",FL,34236-0000,"SARASOTA","SARASOTA"
LFL47116,31-Jan-2018,01-Feb-2008,FL3155,11518.000000,10016.000000,10,50,399913.310000,LESSOR,"PROCACCI 20TH STREET,LLC","","925 SOUTH FEDERAL HIGHWAY","SUITE 400","US",FL,33432-6145,"PALM BEACH","BOCA RATON"
LFL46816,15-Nov-2017,16-Nov-2007,FL3155,73853.000000,66531.000000,0,395,2549212.650000,LESSOR,"PROCACCI 20TH STREET,LLC","","925 SOUTH FEDERAL HWY","SUITE 400","US",FL,33432-6145,"PALM BEACH","BOCA RATON"
LFL40099,08-Jul-2022,09-Jul-2007,FL3158,21200.000000,20715.000000,0,112,660791.960000,LESSOR,"SSAB HOLDING COMPANY LLC","","27500 DETROIT RD STE 300","","US",OH,44145-5913,"CUYAHOGA","WESTLAKE"
LFL42152,09-Oct-2016,10-Oct-2006,FL3159,15689.000000,13643.000000,0,80,445250.830000,LESSOR,"METROPOLITAN LIFE INSURANCE COMPANY","","101 E. KENNEDY BLVD.","SUITE 2330","US",FL,33602-0000,"HILLSBOROUGH","TAMPA"
LFL43213,28-Feb-2011,01-Mar-2006,FL3160,4550.000000,4461.000000,0,11,99820.200000,LESSOR,"LAMBRY PROPERTIES CLERMONT F&W LLC","(FISH & WILDLIFE)","1811 TOWER DRIVE","SUITE B","US",LA,71201-4964,"OUACHITA","MONROE"
LFL46097,27-Feb-2018,28-Feb-2008,FL3161,11601.000000,10088.000000,0,72,452780.560000,LESSOR,"2340 DREW ST,LLC","","965 SOUTH BAYSHORE BLVD.","","US",FL,34695-4217,"PINELLAS","SAFETY HARBOR"
LFL46834,30-Sep-2011,01-Oct-2006,FL3162,10000.000000,10000.000000,0,0,122708.100000,LESSOR,"PS BUSINESS PARKS","","8216 NW 14TH STREET","","US",FL,33126-0000,"DADE","MIAMI"
LFL46011,31-May-2018,01-Jun-2008,FL3163,14312.000000,12445.000000,0,97,541675.110000,LESSOR,"RUTHERFORD & STRICKLAND ELKTON,INC","","P.O. BOX 191,362 SW ATWATER WAY","","US",FL,32341-0000,"MADISON","MADISON"
LFL46010,16-Oct-2017,17-Oct-2007,FL3166,1415.000000,1230.000000,0,6,52207.510000,LESSOR,"BREVARD HOLDING COMPANY","","4031 U.S HIGHWAY ONE,NE","","US",FL,32905-0000,"BREVARD","PALM BAY"
LFL46840,30-Nov-2010,01-Feb-2007,FL3167,24850.000000,21608.000000,4,21,671535.000000,LESSOR,"HAPAG-LLOYD USA,LLC","","401 EAST JACKSON STREET","SUITE 3300","US",FL,33602-5228,"HILLSBOROUGH","TAMPA"
LFL46836,31-Oct-2016,01-Nov-2006,FL3169,5000.000000,4888.000000,0,4,96499.310000,LESSOR,"TOLEMAC INC","D/B/A EAST PARK CENTER","11655 CENTRAL PKWY","SUITE 302","US",FL,32224-2686,"DUVAL","JACKSONVILLE"
LFL50842,30-Sep-2014,01-Oct-2009,FL3170,16080.000000,16080.000000,0,37,251148.990000,LESSOR,"GABRIEL BENVENUTO","MANAGER,REALTY ASSET PROGRAMS","160 INVERNESS DRIVE WEST,SUITE 400","","US",CO,80112-5005,"ARAPAHOE","ENGLEWOOD"
LFL47806,30-Oct-2011,31-Oct-2006,FL3171,97481.000000,84766.000000,0,333,1990614.510000,LESSOR,"LING 36 SKYLINE LLC","","4000 KRUSE WAY PLACE","BLDG 1","US",OR,97035-5545,"MULTNOMAH","LAKE OSWEGO"
LFL47017,10-Jul-2018,11-Jul-2008,FL3172,2415.000000,2100.000000,0,10,83421.030000,LESSOR,"GARLENA C. SMITH,LLC","","PO BOX 1297","","US",FL,32548-4937,"OKALOOSA","FT WALTON BEACH"
LFL46004,12-Dec-2017,13-Dec-2007,FL3173,31408.000000,27795.000000,0,2,1226379.010000,LESSOR,"FOUNTAIN SQUARE II,LTD","","9331 ADAMO DRIVE","SUITE 200","US",FL,33619-2682,"HILLSBOROUGH","TAMPA"
LFL47022,08-Jul-2017,13-Mar-2007,FL3174,4356.000000,3821.000000,0,32,103128.950000,LESSOR,"GEORGE WOODRUFF","","210 S. WASHINGTON AVENUE","","US",FL,32796-0000,"BREVARD","TITUSVILLE"
LFL46115,04-Oct-2024,05-Oct-2009,FL3175,19090.000000,16600.000000,30,40,724632.380000,LESSOR,"VENTURE TEK OF THE EMERALD COAST","","809 BALBOA AVENUE","","US",FL,32401-2142,"BAY","PANAMA CITY"
LFL46113,24-Mar-2018,25-Mar-2008,FL3176,7300.000000,6532.000000,0,34,254886.130000,LESSOR,"SEBRING LLC","","965 SOUTH BAYSHORE BLVD.","","US",FL,34695-4217,"PINELLAS","SAFETY HARBOR"
LFL46092,07-Jan-2018,08-Jan-2008,FL3177,32578.000000,31939.000000,0,165,1322210.930000,LESSOR,"LAMBRY PROPERTIES ORLANDO SSA LLC","","1811 TOWER DR STE B","","US",LA,71201-4964,"OUACHITA","MONROE"
LFL47042,19-Feb-2024,20-Feb-2009,FL3178,129895.000000,115927.000000,114,322,4700116.820000,LESSOR,"JACKSONVILLE FIELD OFFICE LLC","","318 SOUTH SHORE DRIVE","","US",MO,64034-9447,"JACKSON","GREENWOOD"
LFL47043,31-Oct-2017,01-Nov-2007,FL3179,2300.000000,2007.000000,0,15,65164.610000,LESSOR,"KELLY & MAIN LLC","","PO BOX 3250","","US",FL,32548-0000,"OKALOOSA","FT WALTON BEACH"
LFL47044,30-Apr-2018,01-May-2008,FL3180,1888.000000,1642.000000,0,6,66480.320000,LESSOR,"EASTEP PROPERTIES LLC","JERRY EASTEP,PRESIDENT","1881 N. UNIVERSITY DRIVE","SUITE 205","US",FL,33071-0000,"BROWARD","CORAL SPRINGS"
LFL47046,31-Oct-2018,01-Nov-2008,FL3181,10347.000000,9502.000000,0,25,371425.260000,LESSOR,"RIVERSIDE NATIONAL BANK OF FLORIDA","","4100 20TH STREET","","US",FL,32960-0000,"INDIAN RIVER","VERO BEACH"
LFL47821,30-Sep-2012,01-Oct-2007,FL3182,11310.000000,11310.000000,0,0,208923.240000,LESSOR,"SHELTAIR AVIATION CENTER,LLC","","1100 LEE WAGENER BLVD.","SUITE 107","US",FL,33315-3570,"BROWARD","FT LAUDERDALE"
LFL47050,27-Oct-2023,28-Oct-2008,FL3183,45911.000000,44870.000000,0,326,2327669.450000,LESSOR,"SOUTH FLORIDA FEDERAL PARTNERS","KENDALL,LLC","1400 EAST OAKLAND PARK BOULEVARD","SUITE 210","US",FL,33334-4400,"BROWARD","OAKLAND PARK"
LFL47048,08-Dec-2023,09-Dec-2008,FL3184,60157.000000,57732.000000,0,380,2936640.220000,LESSOR,"SOUTH FLORIDA FEDERAL PARTNERS","CENTRAL MIAMI,LLC","1400 EAST OAKLAND BOULVARD","SUITE 210","US",FL,33334-4400,"BROWARD","OAKLAND PARK"
LFL47049,23-Oct-2023,24-Oct-2008,FL3185,44936.000000,43937.000000,0,326,2323596.400000,LESSOR,"S. FLORIDA FED PARTNERS-HIALEAH,LLC","","1400 EAST OAKLAND BOULEVARD","SUITE 210","US",FL,33334-4400,"BROWARD","OAKLAND PARK"
LFL47051,11-Dec-2023,12-Dec-2008,FL3186,45911.000000,44870.000000,0,323,2309445.700000,LESSOR,"SOUTH FLORIDA FEDERAL PARTNERS","BROWARD,LLC","1400 EAST OAKLAND BOULEVAD","SUITE 210","US",FL,33334-4400,"BROWARD","OAKLAND PARK"
LFL47810,27-Jun-2013,28-Jun-2008,FL3187,8399.000000,7400.000000,0,63,218967.740000,LESSOR,"LAKESIDE CENTER,LLC","C/O PROPERTY SERVICES,INC.","8641 BAYPINE ROAD,SUITE #1","","US",FL,32256-7515,"DUVAL","JACKSONVILLE"
LFL47054,14-Jul-2019,15-Jul-2009,FL3189,16103.000000,14126.000000,0,71,595645.490000,LESSOR,"CITIZEN CENTER LLC","","965 S. BAYSHORE BLVD.","","US",FL,34695-5559,"PINELLAS","SAFETY HARBOR"
LFL47819,23-Mar-2012,24-Mar-2007,FL3190,1500.000000,1500.000000,0,0,19350.860000,LESSOR,"HIALEAH ONE INDUSTRIAL PARK","","8001 WEST 26 AVE SUITE 1","","US",FL,33016-0000,"MIAMI-DADE","HIALEAH"
LFL47811,31-May-2018,01-Jun-2008,FL3191,12051.000000,10479.000000,0,53,419323.660000,LESSOR,"LBA-GSA WINTER HAVEN,LLC","","2733 ROSS CLARK CIRCLE","","US",AL,36302-0000,"HOUSTON","DOTHAN"
LFL45843,01-Jun-2013,02-Jun-2008,FL3192,2103.000000,1828.000000,0,0,58037.510000,LESSOR,"KOALA MIAMI REALTY HOLDING CO. INC","FLAGHER REAL ESTATE SERVICES LLC","8350 NW 52ND TERRACE","SUITE 102","US",FL,33166-7706,"MIAMI-DADE","DORAL"
LFL47096,09-Apr-2019,10-Apr-2009,FL3196,33040.000000,28000.000000,62,0,1975404.380000,LESSOR,"DOWNTOWN MIAMI MALL,LLC","","551 5TH AVENUE","","US",NY,10176-0001,"NEW YORK","NEW YORK-MANHATTAN"
LFL47103,31-Jan-2018,01-Feb-2008,FL3198,1440.000000,1350.000000,0,5,41226.270000,LESSOR,"KELLY OVERSTREET JOHNSON","","511 BOBBIN BROOK LANE","","US",FL,32312-0000,"LEON","TALLAHASSEE"
LFL47111,08-Jul-2011,09-Jul-2007,FL3200,6800.000000,6220.000000,0,0,144426.290000,LESSOR,"FMS PROPERTY INTERESTS","","1801 N. MERIDIAN RD","","US",FL,32303-5257,"LEON","TALLAHASSEE"
LFL47832,31-Aug-2017,01-Sep-2007,FL3202,4862.000000,4862.000000,0,0,86388.480000,LESSOR,"HELIOS COLLIERS,LLC","","1400 N.W. 107TH AVENUE","","US",FL,33172-2704,"MIAMI-DADE","MIAMI"
LFL47841,30-Nov-2018,01-Dec-2008,FL3203,27273.000000,24794.000000,0,116,738692.610000,LESSOR,"LBA-GSA JACKSONVILLE,LLC","","2733 ROSS CLARK CIRCLE","P.O. BOX 5566","US",AL,36302-5566,"HOUSTON","DOTHAN"
LFL47848,31-May-2019,01-Jun-2009,FL3204,7306.000000,6353.000000,0,27,320854.310000,LESSOR,"RUTHERFORD & STRICKLAND","ST AUGUSTINE,LLC","362 SW ATWATER WAY","","US",FL,32340-0000,"MADISON","MADISON"
LFL47052,24-Mar-2018,25-Mar-2008,FL3206,10091.000000,8009.000000,0,40,404851.390000,LESSOR,"SOUTHERN HOMES OF MIAMI II,INC.","","12895 SW 132ND STREET","SUITE 200","US",FL,33186-6273,"MIAMI-DADE","MIAMI"
LFL47849,31-Aug-2012,01-Sep-2007,FL3208,1500.000000,1500.000000,0,0,18069.800000,LESSOR,"AIRPORT INVESTMENT PROPERTIES,LLC","MAS COMPANIES","1105 SCHROCKS ROAD","SUITE 206","US",OH,43229-0000,"FRANKLIN","COLUMBUS"
LFL47855,30-Sep-2019,01-Oct-2009,FL3210,69554.000000,67110.000000,0,360,2875502.810000,LESSOR,"NGP V MIRAMAR FL LLC","","1750 TYSONS BLVD","SUITE 220","US",VA,22102-4228,"FAIRFAX","MCLEAN"
LFL47858,01-Feb-2019,02-Feb-2009,FL3211,4015.000000,4015.000000,0,5,137153.200000,LESSOR,"MLJ BROOKSIDE,LLC","","701 SPOTTIS WOODE LANE","","US",FL,33756-0000,"PINELLAS","CLEARWATER"
LFL47153,13-Jan-2025,14-Jan-2010,FL3214,7370.000000,6408.000000,0,15,364317.540000,LESSOR,"ALEX GROUP LLC","","100 NE 15TH STREET","SUITE 201","US",FL,33030-4564,"MIAMI-DADE","HOMESTEAD"
LFL47888,30-Sep-2017,01-Oct-2007,FL3216,1806.000000,1806.000000,0,0,25944.690000,LESSOR,"LEONARD EDELMAN","","10557 NW 53RD ST.","","US",FL,33351-8030,"BROWARD","SUNRISE"
LFL59803,28-Dec-2011,29-Dec-2008,FL3219,0.000000,0.000000,0,0,7200.000000,LESSOR,"SKY DIVE CITY,INC.","","PO BOX 1599","","US",FL,33539-1599,"PASCO","ZEPHYRHILLS"
LFL47884,31-May-2019,01-Jun-2009,FL3220,16018.000000,14175.000000,0,32,543469.300000,LESSOR,"GOFSCO LLC","","215 5TH STREET,SOUTH","","US",FL,34102-6322,"COLLIER","NAPLES"
LFL43125,28-Feb-2018,29-Feb-2008,FL3221,15992.000000,13906.000000,0,64,510980.110000,LESSOR,"101 COMMERCE  STREET,LLC","","965 SOUTH BAYSHORE BLVD","","US",FL,34695-4217,"PINELLAS","SAFETY HARBOR"
LFL48810,15-Dec-2012,16-Dec-2007,FL3223,16935.000000,15747.000000,0,38,483689.880000,LESSOR,"FLAMINGO COMMERCE CENTER II,LTD","","12002 MIRAMAR PKWY","","US",FL,33025-7000,"BROWARD","MIRAMAR"
LFL47816,31-Jan-2018,01-Feb-2008,FL3224,7006.000000,7006.000000,0,0,74386.960000,LESSOR,"REGENT PROPERTIES DEVELOPMENT INC","","15371 ROOSEVELT BLVD STE 107","","US",FL,33760-3501,"PINELLAS","CLEARWATER"
LFL48821,28-Feb-2014,01-Mar-2009,FL3225,17793.000000,17793.000000,0,1,313140.630000,LESSOR,"FIRST INDUSTRIAL LP","","5313 JOHNS ROAD - 201","","US",FL,33634-0000,"HILLSBOROUGH","TAMPA"
LFL48818,31-Dec-2012,01-Jan-2008,FL3226,384.000000,384.000000,0,1,8917.100000,LESSOR,"CHARLOTTE COUNTY DEVELOPMENT AUTHOR","","28000 AIRPORT RD A1","","US",FL,33982-2409,"CHARLOTTE","PUNTA GORDA"
LFL48824,11-Aug-2018,12-Aug-2008,FL3229,4872.000000,4390.000000,0,15,114527.030000,LESSOR,"PINEBROOKE TAMPA  PDC,LLC","","8401 JACKSON RD","","US",CA,95826-3904,"SACRAMENTO","SACRAMENTO"
LFL47853,09-Jun-2019,10-Jun-2009,FL3230,8000.000000,6800.000000,0,40,207979.850000,LESSOR,"MELBOURNE COMMERCE,LLC","","965 SOUTH BAYSHORE","","US",FL,34695-4217,"PINELLAS","SAFETY HARBOR"
LFL47857,31-Jan-2013,01-Feb-2008,FL3231,789.000000,710.000000,0,1,22663.690000,LESSOR,"EASTWOOD ASSOCIATES,LLLP","C/O EXECUTIVE PROPERTY MGMT GROUP","1991 MAIN STREET","BOX 183","US",FL,34236-5934,"SARASOTA","SARASOTA"
LFL48825,28-Feb-2013,01-Mar-2008,FL3233,2985.000000,2573.000000,0,12,89985.530000,LESSOR,"DRA/CLP OFFICE LLC","","4300 W. CYPRESS ST","SUITE 850","US",FL,33607-4162,"HILLSBOROUGH","TAMPA"
LFL48802,31-Jan-2012,01-Feb-2008,FL3234,5440.000000,5440.000000,0,10,87345.870000,LESSOR,"WILSON HOLLYWOOD SHOWROOM,LLC","","875 NORTH MICHIGAN AVE,41ST FL","","US",IL,60611-1803,"COOK","CHICAGO"
LFL48820,31-Oct-2018,01-Nov-2008,FL3238,393.000000,367.000000,0,1,12154.670000,LESSOR,"COMMANDMENT REALTY","","4444 STE CATHERINE W #100","","XC",,H3Z 1R2,"","WESTMOUNT QUEBEC"
LFL46822,31-Aug-2023,02-Sep-2008,FL3241,43668.000000,41536.000000,0,282,1524908.750000,LESSOR,"THE OXFORD FUND/ ORLANO L.P.","","ONE OXFORD CENTRE","301 GRANT ST. SUITE 4500","US",PA,15219-6400,"ALLEGHENY","PITTSBURGH"
LFL48850,27-Sep-2025,28-Sep-2010,FL3246,33500.000000,29130.000000,0,145,1165465.000000,LESSOR,"WESTERN DEVCON INCORPORATED","","10525 VISTA SORRENTO PARKWAY","SUITE 110","US",CA,92121-2747,"SAN DIEGO","SAN DIEGO"
LFL42127,25-Dec-2023,26-Dec-2008,FL3248,33040.000000,30167.000000,70,80,2177908.230000,LESSOR,"WSSA FLORIDA,LLC","","140 EAST SECOND STREET","SUITE 225","US",MI,48502-0000,"GENESEE","FLINT"
LFL47838,14-Nov-2018,15-Nov-2008,FL3249,9432.000000,8202.000000,0,54,359007.360000,LESSOR,"RUTHERFORD & STRICKLAND LAKE CITY","","362 SW ATWATER WAY","","US",FL,32340-0000,"MADISON","MADISON"
LFL47852,28-Feb-2020,01-Mar-2010,FL3250,21284.000000,18508.000000,0,110,752517.530000,LESSOR,"RUTHERFORD&STRICKLAND MELBOURNE LLC","","362 SW ATWATER WAY","","US",FL,32341-0000,"MADISON","MADISON"
LFL48856,31-Jul-2011,01-Aug-2008,FL3252,0.000000,0.000000,0,10,6000.000000,LESSOR,"400 N. HOGAN STREET,LLC","","2275 ATLANTIC BLVD","","US",FL,32266-2547,"DUVAL","NEPTUNE BEACH"
LFL48806,31-Oct-2018,01-Nov-2008,FL3253,12341.000000,10414.000000,2,19,398328.040000,LESSOR,"ACP/UTAH ORANGE AVENUE,LLC","","444 BRICKELL AVENUE","SUITE 900","US",FL,33131-2407,"MIAMI-DADE","MIAMI"
LFL47860,30-Jun-2023,01-Jul-2008,FL3253,34182.000000,29936.000000,0,17,1004231.740000,LESSOR,"ACP/UTAH ORANGE AVENUE,LLC","","444 BRICKELL AVENUE","SUITE 900","US",FL,33131-2407,"MIAMI-DADE","MIAMI"
LFL48803,14-May-2019,15-May-2009,FL3254,32446.000000,31560.000000,0,58,592746.020000,LESSOR,"PROCACCI PARCEL F,LLC","","925 S. FEDERAL HIGHWAY","SUITE 400","US",FL,33432-6145,"PALM BEACH","BOCA RATON"
LFL48846,09-Apr-2019,10-Apr-2009,FL3255,37328.000000,32459.000000,0,147,1576146.610000,LESSOR,"WBP TWO LIMITED PARTNERSHIP","","2400 NORTH COMMERCE PARKWAY","SUITE 405","US",FL,33356-0000,"BROWARD","WESTON"
LFL48837,09-Apr-2019,10-Apr-2009,FL3256,96175.000000,83630.000000,0,433,4060937.400000,LESSOR,"DUKE WESTON V,LLC.","","2400 NORTH COMMERCE PARKWAY","SUITE 405","US",FL,33326-0000,"BROWARD","WESTON"
LFL59085,13-May-2019,14-May-2009,FL3263,1620.000000,1620.000000,0,3,31741.420000,LESSOR,"LT & VT,LLC","","2453 CEDARWOOD CT.","","US",GA,30068-3613,"COBB","MARIETTA"
LFL48804,02-Mar-2020,03-Mar-2010,FL3266,6097.000000,5492.000000,0,32,224617.730000,LESSOR,"HOOVER PROPERTY MANAGEMENT #1,LLC","","13775 N. NEBRASKA AVENUE","","US",FL,33613-3320,"HILLSBOROUGH","TAMPA"
LFL47862,13-Aug-2019,14-Aug-2009,FL3267,5563.000000,4838.000000,0,20,191279.080000,LESSOR,"PROCACCI CROSSROADS PARCEL D,LLC","","925 SOUTH FEDERAL HIGHWAY - SUITE 400","","US",FL,33432-6145,"PALM BEACH","BOCA RATON"
LFL48836,31-Jan-2019,01-Feb-2009,FL3267,42179.000000,36999.000000,80,45,1609833.720000,LESSOR,"PROCACCI CROSSROADS PARCEL D,LLC.","","925 SOUTH FEDERAL HIGHWAY,SUITE 400","","US",FL,33432-6145,"PALM BEACH","BOCA RATON"
LFL47861,30-Nov-2018,01-Dec-2008,FL3268,32746.000000,31186.000000,0,65,491746.180000,LESSOR,"JACKSONVILLE AVIATION AUTHORITY","","P.O. BOX 18018","","US",FL,32229-0018,"DUVAL","JACKSONVILLE"
LFL47812,15-Nov-2019,16-Nov-2009,FL3269,12429.000000,11556.000000,0,19,383601.830000,LESSOR,"OFFICES AT PARK PLACE,LLC","","4500 140TH AVENUE NORTH,SUITE 101","","US",FL,33762-3848,"PINELLAS","CLEARWATER"
LFL47145,19-Jan-2024,20-Jan-2009,FL3271,38277.000000,37308.000000,0,216,2064168.980000,LESSOR,"SOUTH FLORIDA FEDERAL PARTNERS","WEST PALM BEACH,LLC","1400 EAST OAKLAND BOULEVARD","SUITE 210","US",FL,33334-0000,"BROWARD","OAKLAND PARK"
LFL59138,03-Aug-2020,04-Aug-2010,FL3278,7280.000000,6500.000000,0,3,215939.360000,LESSOR,"MARINA LAKES,LLC","","21 E. GARDEN BLVD","","US",FL,32502-5676,"ESCAMBIA","PENSACOLA"
LFL48012,31-Jul-2019,01-Aug-2009,FL3279,12111.000000,10531.000000,0,63,399135.040000,LESSOR,"LBA-GSA PENSACOLA,LLC","","2733 ROSS CLARK CIRCLE","","US",AL,36301-3214,"HOUSTON","DOTHAN"
LFL48129,28-Feb-2019,01-Mar-2009,FL3281,19880.000000,17955.000000,0,75,498767.470000,LESSOR,"SEDONA II LLC","ALLEN GROUP","1648 METROPOLITAN CIRCLE","","US",FL,32308-0000,"LEON","TALLAHASSEE"
LFL47880,05-Apr-2019,06-Apr-2009,FL3282,8368.000000,7405.000000,0,38,285206.610000,LESSOR,"LBA-GSA DADE CITY,LLC","","2733 ROSS CLARK CIRCLE","","US",AL,36301-0000,"HOUSTON","DOTHAN"
LFL48873,14-Jun-2019,15-Jun-2009,FL3284,2477.000000,2154.000000,0,5,73327.170000,LESSOR,"KRAAZ AND KRAAZ FINANCE,INC.","","124-A NORTH 2ND STREET","","US",FL,34950-4404,"ST LUCIE","FT PIERCE"
LFL59825,13-Dec-2019,14-Dec-2009,FL3285,36593.000000,31656.000000,0,10,1032726.980000,LESSOR,"WCP FAIRFAX,LLC","","2100 WEST 76TH STREET,SUITE 401","","US",FL,33016-5504,"MIAMI-DADE","HIALEAH"
LFL59826,30-May-2012,01-Jun-2009,FL3286,0.000000,0.000000,3,0,1698.120000,LESSOR,"CITY OF FORT MYERS","","2200 SECOND STREET","","US",FL,33901-0000,"LEE","FT MYERS"
LFL59810,31-May-2011,01-Jun-2009,FL3288,3839.000000,3517.000000,0,15,70620.080000,LESSOR,"SEACOAST NATIONAL BANK","","P.O. BOX 9012","","US",FL,34995-0000,"MARTIN","STUART"
LFL47873,13-Apr-2019,14-Apr-2009,FL3299,12460.000000,10800.000000,0,51,367075.540000,LESSOR,"SCP-CAPRI MG OWNER,LLC","","300 S.E. 2ND STREET","","US",FL,33301-1906,"BROWARD","FT LAUDERDALE"
LFL59820,09-Sep-2020,10-Sep-2010,FL3302,19033.000000,16550.000000,0,16,511032.440000,LESSOR,"830 CENTRAL,LLC","C/O XENIA MANAGEMENT CORPORATION","2340 DREW STREET","SUITE 300","US",FL,33765-3310,"PINELLAS","CLEARWATER"
LFL59833,20-May-2025,21-May-2010,FL3302,44564.000000,38751.000000,0,185,1603412.720000,LESSOR,"830 CENTRAL,LLC","","2340 DREW STREET,SUITE 300","","US",FL,33765-3310,"PINELLAS","CLEARWATER"
LFL47872,21-Apr-2019,22-Apr-2009,FL3303,5809.000000,5206.000000,0,26,233597.520000,LESSOR,"LAMBERT PROPERTIES","LIMITED PARTNERSHIP","2935 20TH STREET","","US",FL,32960-3097,"INDIAN RIVER","VERO BEACH"
LFL47879,31-Aug-2019,01-Sep-2009,FL3310,15839.000000,13773.000000,0,92,633717.050000,LESSOR,"OLIVE BRANCH PROPERTIES IV,LLC","","736 CHERRY STREET","","US",TN,37402-1909,"HAMILTON","CHATTANOOGA"
LFL47877,30-Nov-2019,01-Dec-2009,FL3311,16197.000000,14084.000000,0,90,553908.170000,LESSOR,"NTS REALTY HOLDINGS LIMITED PARTNER","","10172 LINN STATION ROAD","","US",KY,40223-3887,"JEFFERSON","LOUISVILLE"
LFL47057,30-Jun-2019,01-Jul-2009,FL3312,11359.000000,10182.000000,0,65,376939.280000,LESSOR,"MORGAN JOHNSON ASSOCIATES,LLC","","6771 PROFESSIONAL PARKWAY","SUITE 100","US",FL,34240-8460,"SARASOTA","SARASOTA"
LFL47868,30-Jun-2020,01-Jul-2010,FL3313,2827.000000,2110.000000,0,26,108754.690000,LESSOR,"JDS,LLC","","6765 GARLAND STREET","","US",FL,33966-1114,"LEE","FT MYERS"
LFL47871,20-Dec-2019,21-Dec-2009,FL3314,8542.000000,8106.000000,0,23,248060.000000,LESSOR,"FIRST STATES INVESTORS 5000A,LLC","","680 OLD YORK ROAD","","US",PA,19046-2856,"MONTGOMERY","JENKINTOWN"
LFL48159,31-Aug-2019,01-Sep-2009,FL3316,11444.000000,9515.000000,7,9,390193.240000,LESSOR,"DUKE REALTY LIMITED PARTNERSHIP","","600 EAST 96TH STREET,SUITE 100","","US",IN,46420-3788,"MARION","INDIANAPOLIS"
LFL59804,28-Sep-2025,29-Sep-2010,FL3317,30000.000000,29126.000000,0,116,1840120.750000,LESSOR,"WESTERN DEVCON,INC","","10525 VISTA SORRENTO PARKWAY #110","","US",CA,92121-2747,"SAN DIEGO","SAN DIEGO"
LFL40803,31-Dec-2010,01-Jan-2000,FL3318,2337.000000,2032.000000,0,0,45851.940000,LESSOR,"DRA CRT ORLANDO CENTRAL CENTER,LLC","","930 WOODCOCK ROAD","SUITE 127","US",FL,32803-0000,"ORANGE","ORLANDO"
LFL47843,14-Oct-2019,15-Oct-2009,FL3321,3526.000000,3067.000000,4,0,161067.680000,LESSOR,"METROPOLITIAN LIFE INSURANCE COMPAN","","101 EAST KENNEDY BLVD","SUITE 2330","US",FL,33602-5147,"HILLSBOROUGH","TAMPA"
LFL47847,01-Sep-2012,01-Oct-2007,FL3323,0.000000,0.000000,0,0,0.000000,LESSOR,"JACKSONVILLE PORT AUTHORITY","A BODY POLITIC & CORPORATE","2831 TALLEYRAND AVENUE","","US",FL,32206-3417,"DUVAL","JACKSONVILLE"
LFL59807,15-Sep-2010,18-Dec-2009,FL3324,1742.000000,1464.000000,0,8,47312.720000,LESSOR,"REFLECTCO,LLC","","925 SOUTH FEDERAL HIGHWAY","SUITE 425","US",FL,33432-6122,"PALM BEACH","BOCA RATON"
LFL47891,24-Sep-2014,25-Sep-2009,FL3326,9583.000000,8333.000000,27,24,334729.360000,LESSOR,"CORPORATE PARK OF MIAMI","","7775 NW 48TH STREET","SUITE 100","US",FL,33166-5408,"MIAMI-DADE","MIAMI"
LFL48805,31-May-2020,01-Jun-2010,FL3327,12447.000000,10753.000000,0,9,293251.320000,LESSOR,"BSHI OWNER LLC","C/O EOLA CAPITAL LLC","ONE INDEPENDENT DRIVE","SUITE 1850","US",FL,32202-5039,"DUVAL","JACKSONVILLE"
LFL50806,30-Sep-2015,01-Feb-2010,FL3329,1620.000000,1620.000000,0,0,32400.000000,LESSOR,"HILLS INC.","","7785 ELLIS RD.","","US",FL,32904-1105,"BREVARD","WEST MELBOURNE"
LFL50809,28-Feb-2015,01-Mar-2010,FL3330,140.000000,140.000000,0,1,6228.000000,LESSOR,"STEPHEN D. DRYDEN","","20017 GRANDE LAKE DRIVE","","US",FL,33928-7746,"LEE","ESTERO"
